Name,Research unit(s),URL,Research,Words,Synonym_,merge_synonyms
Matija Bucic,Mathematics,https://collaborate.princeton.edu/en/persons/matija-bucic,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
David Builes,Philosophy,https://collaborate.princeton.edu/en/persons/david-builes,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
Rebecca D. Burdine,Molecular Biology,https://collaborate.princeton.edu/en/persons/rebecca-d-burdine,Molecular Biology,"Molecular, Biology","molecular, ","Molecular, Biology, molecular, "
John P. Burgess,Philosophy,https://collaborate.princeton.edu/en/persons/john-p-burgess,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
D. Graham Burnett,History,https://collaborate.princeton.edu/en/persons/d-graham-burnett,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Adam S. Burrows,"Astrophysical Sciences, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/adam-s-burrows,"Astrophysical Sciences, Princeton Institute Computational Science and Engineering","Astrophysical, Sciences, Princeton, Institute, Computational, Science, and, Engineering","astrophysical, , , , , , , ","Astrophysical, Sciences, Princeton, Institute, Computational, Science, and, Engineering, astrophysical, , , , , , , "
Timothy J. Buschman,Psychology,https://collaborate.princeton.edu/en/persons/timothy-j-buschman,Psychology,Psychology,"psychological_science, psychology","Psychology, psychological_science, psychology"
Eduardo Lujan Cadava,English,https://collaborate.princeton.edu/en/persons/eduardo-lujan-cadava,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Sebastian Caldas,Computer Science,https://collaborate.princeton.edu/en/persons/sebastian-caldas,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Curtis Gove Callan,"Physics, High Meadows Environmental Institute, Lewis-Sigler Institute for Integrative Genomics",https://collaborate.princeton.edu/en/persons/curtis-gove-callan,"Physics, High Meadows Environmental Institute, Lewis-Sigler Institute Integrative Genomics","Physics, High, Meadows, Environmental, Institute, Lewis-Sigler, Institute, Integrative, Genomics","aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , , , , , ","Physics, High, Meadows, Environmental, Institute, Lewis-Sigler, Institute, Integrative, Genomics, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , , , , , "
Charles M. Cameron,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/charles-m-cameron,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Shane Cornell Campbell-Staton,"Ecology & Evolutionary Biology, Princeton Branch of the Ludwig Institute for Cancer Research",https://collaborate.princeton.edu/en/persons/shane-cornell-campbell-staton,"Ecology Evolutionary Biology, Princeton Branch of Ludwig Institute Cancer Research","Ecology, Evolutionary, Biology, Princeton, Branch, of, Ludwig, Institute, Cancer, Research","environmental_science, bionomics, ecology, , , , , , , , , ","Ecology, Evolutionary, Biology, Princeton, Branch, of, Ludwig, Institute, Cancer, Research, environmental_science, bionomics, ecology, , , , , , , , , "
Tina Marie Campt,Art and Archaeology,https://collaborate.princeton.edu/en/persons/tina-marie-campt,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
Margot Canaday,History,https://collaborate.princeton.edu/en/persons/margot-canaday,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Vera Silvina Candiani,History,https://collaborate.princeton.edu/en/persons/vera-silvina-candiani,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Roberto Car,"Chemistry, Physics, Princeton Institute for Computational Science and Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/roberto-car,"Chemistry, Physics, Princeton Institute Computational Science and Engineering, Princeton Materials Institute","Chemistry, Physics, Princeton, Institute, Computational, Science, and, Engineering, Princeton, Materials, Institute","chemistry, chemical_science, alchemy, interpersonal_chemistry, , , , , , , , , , ","Chemistry, Physics, Princeton, Institute, Computational, Science, and, Engineering, Princeton, Materials, Institute, chemistry, chemical_science, alchemy, interpersonal_chemistry, , , , , , , , , , "
Jannette Carey,"Chemistry, Molecular Biology, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/jannette-carey,"Chemistry, Molecular Biology, Princeton Materials Institute","Chemistry, Molecular, Biology, Princeton, Materials, Institute","chemistry, chemical_science, alchemy, interpersonal_chemistry, , , , , ","Chemistry, Molecular, Biology, Princeton, Materials, Institute, chemistry, chemical_science, alchemy, interpersonal_chemistry, , , , , "
Rebecca Michelle Carey,Psychology,https://collaborate.princeton.edu/en/persons/rebecca-michelle-carey,Psychology,Psychology,"psychological_science, psychology","Psychology, psychological_science, psychology"
Rene A. Carmona,"Operations Research & Financial Engineering, Bendheim Center for Finance, High Meadows Environmental Institute, Mathematics, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/rene-a-carmona,"Operations Research Financial Engineering, Bendheim Center Finance, High Meadows Environmental Institute, Mathematics, Princeton Institute Computational Science and Engineering","Operations, Research, Financial, Engineering, Bendheim, Center, Finance, High, Meadows, Environmental, Institute, Mathematics, Princeton, Institute, Computational, Science, and, Engineering","surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , , , , , , , , , , , , , , , ","Operations, Research, Financial, Engineering, Bendheim, Center, Finance, High, Meadows, Environmental, Institute, Mathematics, Princeton, Institute, Computational, Science, and, Engineering, surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , , , , , , , , , , , , , , , "
Allison Carruth,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/allison-carruth,Effron Center Study of America,"Effron, Center, Study, of, America",", , , , ","Effron, Center, Study, of, America, , , , , "
Emily Ann Carter,Andlinger Center for Energy & the Environment,https://collaborate.princeton.edu/en/persons/emily-ann-carter,Andlinger Center Energy Environment,"Andlinger, Center, Energy, Environment",", , , ","Andlinger, Center, Energy, Environment, , , , "
Natalia Castro Picon,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/natalia-castro-picon,Spanish Portuguese,"Spanish, Portuguese","Spanish, Spanish_people, ","Spanish, Portuguese, Spanish, Spanish_people, "
Matias Damian Cattaneo,"Operations Research & Financial Engineering, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/matias-damian-cattaneo,"Operations Research Financial Engineering, Center Statistics Machine Learning","Operations, Research, Financial, Engineering, Center, Statistics, Machine, Learning","surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , , , , , ","Operations, Research, Financial, Engineering, Center, Statistics, Machine, Learning, surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , , , , , "
Robert Joseph Cava,"Chemistry, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/robert-joseph-cava,"Chemistry, Princeton Materials Institute","Chemistry, Princeton, Materials, Institute","chemistry, chemical_science, alchemy, interpersonal_chemistry, , , ","Chemistry, Princeton, Materials, Institute, chemistry, chemical_science, alchemy, interpersonal_chemistry, , , "
Michael Anthony Celia,"Civil & Environmental Engineering, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/michael-anthony-celia,"Civil Environmental Engineering, High Meadows Environmental Institute","Civil, Environmental, Engineering, High, Meadows, Environmental, Institute","civil, polite, civic, , , , , , ","Civil, Environmental, Engineering, High, Meadows, Environmental, Institute, civil, polite, civic, , , , , , "
Miguel Angel Centeno,Sociology,https://collaborate.princeton.edu/en/persons/miguel-angel-centeno,Sociology,Sociology,sociology,"Sociology, sociology"
Mark Cerenzia,Operations Research & Financial Engineering,https://collaborate.princeton.edu/en/persons/mark-cerenzia,Operations Research Financial Engineering,"Operations, Research, Financial, Engineering","surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , ","Operations, Research, Financial, Engineering, surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , "
Rafael Cesar,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/rafael-cesar,Spanish Portuguese,"Spanish, Portuguese","Spanish, Spanish_people, ","Spanish, Portuguese, Spanish, Spanish_people, "
Flora Champy,French & Italian,https://collaborate.princeton.edu/en/persons/flora-champy,French Italian,"French, Italian","French_people, French, Gallic, Daniel_Chester_French, ","French, Italian, French_people, French, Gallic, Daniel_Chester_French, "
Michelle M. W. Chan,Molecular Biology,https://collaborate.princeton.edu/en/persons/michelle-m-w-chan,Molecular Biology,"Molecular, Biology","molecular, ","Molecular, Biology, molecular, "
Ellen Bell Chances,Slavic Lang & Literatures,https://collaborate.princeton.edu/en/persons/ellen-bell-chances,Slavic Lang Literatures,"Slavic, Lang, Literatures","Slavonic, Slavic_language, Slavic, Slavonic_language, , ","Slavic, Lang, Literatures, Slavonic, Slavic_language, Slavic, Slavonic_language, , "
Michelle C. Chang,Chemistry,https://collaborate.princeton.edu/en/persons/michelle-c-chang,Chemistry,Chemistry,"chemistry, chemical_science, alchemy, interpersonal_chemistry","Chemistry, chemistry, chemical_science, alchemy, interpersonal_chemistry"
Sun-Yung Alice Chang,Mathematics,https://collaborate.princeton.edu/en/persons/sun-yung-alice-chang,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Sarangan Lakshminarasimha Chari,Chemistry,https://collaborate.princeton.edu/en/persons/sarangan-lakshminarasimha-chari,Chemistry,Chemistry,"chemistry, chemical_science, alchemy, interpersonal_chemistry","Chemistry, chemistry, chemical_science, alchemy, interpersonal_chemistry"
Sylvain Chassang,Economics,https://collaborate.princeton.edu/en/persons/sylvain-chassang,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
Zahid Rafiq Chaudhary,English,https://collaborate.princeton.edu/en/persons/zahid-rafiq-chaudhary,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Saptarshi Chaudhuri,Physics,https://collaborate.princeton.edu/en/persons/saptarshi-chaudhuri,Physics,Physics,"aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic","Physics, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic"
Bernard Chazelle,"Computer Science, Mathematics",https://collaborate.princeton.edu/en/persons/bernard-chazelle,"Computer Science, Mathematics","Computer, Science, Mathematics","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , ","Computer, Science, Mathematics, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , "
Danqi Chen,Computer Science,https://collaborate.princeton.edu/en/persons/danqi-chen,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Janet Y. Chen,History,https://collaborate.princeton.edu/en/persons/janet-y-chen,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Minjie Chen,"Electrical and Computer Engineering, Andlinger Center for Energy & the Environment",https://collaborate.princeton.edu/en/persons/minjie-chen,"Electrical and Computer Engineering, Andlinger Center Energy Environment","Electrical, and, Computer, Engineering, Andlinger, Center, Energy, Environment","electric, electrical, , , , , , , ","Electrical, and, Computer, Engineering, Andlinger, Center, Energy, Environment, electric, electrical, , , , , , , "
Anne Cheng,English,https://collaborate.princeton.edu/en/persons/anne-cheng,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Katie Chenoweth,French & Italian,https://collaborate.princeton.edu/en/persons/katie-chenoweth,French Italian,"French, Italian","French_people, French, Gallic, Daniel_Chester_French, ","French, Italian, French_people, French, Gallic, Daniel_Chester_French, "
Divya Cherian,History,https://collaborate.princeton.edu/en/persons/divya-cherian,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Lawrence W. Cheuk,Physics,https://collaborate.princeton.edu/en/persons/lawrence-w-cheuk,Physics,Physics,"aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic","Physics, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic"
Caroline Cheung,Classics,https://collaborate.princeton.edu/en/persons/caroline-cheung,Classics,Classics,"classics, classic","Classics, classics, classic"
Andrew Chignell,Religion,https://collaborate.princeton.edu/en/persons/andrew-chignell,Religion,Religion,"religious_belief, religion, organized_religion, faith","Religion, religious_belief, religion, organized_religion, faith"
Paul J. Chirik,Chemistry,https://collaborate.princeton.edu/en/persons/paul-j-chirik,Chemistry,Chemistry,"chemistry, chemical_science, alchemy, interpersonal_chemistry","Chemistry, chemistry, chemical_science, alchemy, interpersonal_chemistry"
Ksenia Chizhova,East Asian Studies,https://collaborate.princeton.edu/en/persons/ksenia-chizhova,East Asian Studies,"East, Asian, Studies","east, Orient, East, eastward, due_east, eastern_United_States, E, , ","East, Asian, Studies, east, Orient, East, eastward, due_east, eastern_United_States, E, , "
Carolyn Choi,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/carolyn-choi,Effron Center Study of America,"Effron, Center, Study, of, America",", , , , ","Effron, Center, Study, of, America, , , , , "
Stephen Y. Chou,"Electrical and Computer Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/stephen-y-chou,"Electrical and Computer Engineering, Princeton Materials Institute","Electrical, and, Computer, Engineering, Princeton, Materials, Institute","electric, electrical, , , , , , ","Electrical, and, Computer, Engineering, Princeton, Materials, Institute, electric, electrical, , , , , , "
Edgar Yazid Choueiri,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/edgar-yazid-choueiri,Mechanical Aerospace Engineering,"Mechanical, Aerospace, Engineering","mechanically_skillful, mechanical, , ","Mechanical, Aerospace, Engineering, mechanically_skillful, mechanical, , "
Heather Christie,Molecular Biology,https://collaborate.princeton.edu/en/persons/heather-christie,Molecular Biology,"Molecular, Biology","molecular, ","Molecular, Biology, molecular, "
Maria Chudnovsky,Mathematics,https://collaborate.princeton.edu/en/persons/maria-chudnovsky,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Steven Chung,East Asian Studies,https://collaborate.princeton.edu/en/persons/steven-chung,East Asian Studies,"East, Asian, Studies","east, Orient, East, eastward, due_east, eastern_United_States, E, , ","East, Asian, Studies, east, Orient, East, eastward, due_east, eastern_United_States, E, , "
Christopher F. Chyba,"Princeton School of Public and International Affairs, Astrophysical Sciences",https://collaborate.princeton.edu/en/persons/christopher-f-chyba,"Princeton School of Public and International Affairs, Astrophysical Sciences","Princeton, School, of, Public, and, International, Affairs, Astrophysical, Sciences","Princeton, Princeton_University, , , , , , , , ","Princeton, School, of, Public, and, International, Affairs, Astrophysical, Sciences, Princeton, Princeton_University, , , , , , , , "
Gabriel Maurice Alexander Citron,Religion,https://collaborate.princeton.edu/en/persons/gabriel-maurice-alexander-citron,Religion,Religion,"religious_belief, religion, organized_religion, faith","Religion, religious_belief, religion, organized_religion, faith"
Corey Clapp,Chemistry,https://collaborate.princeton.edu/en/persons/corey-clapp,Chemistry,Chemistry,"chemistry, chemical_science, alchemy, interpersonal_chemistry","Chemistry, chemistry, chemical_science, alchemy, interpersonal_chemistry"
Catherine Clune-Taylor,Gender & Sexuality Studies Pgm,https://collaborate.princeton.edu/en/persons/catherine-clune-taylor,Gender Sexuality Studies Pgm,"Gender, Sexuality, Studies, Pgm","gender, sexuality, sex, grammatical_gender, , , ","Gender, Sexuality, Studies, Pgm, gender, sexuality, sex, grammatical_gender, , , "
Fernando Coda Marques,Mathematics,https://collaborate.princeton.edu/en/persons/fernando-coda-marques,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Daniel Joseph Cohen,"Mechanical & Aerospace Engineering, Chemical & Biological Engineering, Molecular Biology, Princeton Branch of the Ludwig Institute for Cancer Research, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/daniel-joseph-cohen,"Mechanical Aerospace Engineering, Chemical Biological Engineering, Molecular Biology, Princeton Branch of Ludwig Institute Cancer Research, Princeton Materials Institute","Mechanical, Aerospace, Engineering, Chemical, Biological, Engineering, Molecular, Biology, Princeton, Branch, of, Ludwig, Institute, Cancer, Research, Princeton, Materials, Institute","mechanically_skillful, mechanical, , , , , , , , , , , , , , , , , ","Mechanical, Aerospace, Engineering, Chemical, Biological, Engineering, Molecular, Biology, Princeton, Branch, of, Ludwig, Institute, Cancer, Research, Princeton, Materials, Institute, mechanically_skillful, mechanical, , , , , , , , , , , , , , , , , "
Jonathan D. Cohen,"Psychology, Center for Statistics & Machine Learning, Princeton Institute for Computational Science and Engineering, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/jonathan-d-cohen,"Psychology, Center Statistics Machine Learning, Princeton Institute Computational Science and Engineering, Princeton Neuroscience Institute","Psychology, Center, Statistics, Machine, Learning, Princeton, Institute, Computational, Science, and, Engineering, Princeton, Neuroscience, Institute","psychological_science, psychology, , , , , , , , , , , , , ","Psychology, Center, Statistics, Machine, Learning, Princeton, Institute, Computational, Science, and, Engineering, Princeton, Neuroscience, Institute, psychological_science, psychology, , , , , , , , , , , , , "
Morrel H. Cohen,Chemistry,https://collaborate.princeton.edu/en/persons/morrel-h-cohen,Chemistry,Chemistry,"chemistry, chemical_science, alchemy, interpersonal_chemistry","Chemistry, chemistry, chemical_science, alchemy, interpersonal_chemistry"
Samuel A. Cohen,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/samuel-a-cohen,Astrophysical Sciences,"Astrophysical, Sciences","astrophysical, ","Astrophysical, Sciences, astrophysical, "
Andrew Cole,English,https://collaborate.princeton.edu/en/persons/andrew-cole,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Linda Jane Colley,History,https://collaborate.princeton.edu/en/persons/linda-jane-colley,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Lindsay Collins,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/lindsay-collins,Princeton Neuroscience Institute,"Princeton, Neuroscience, Institute","Princeton, Princeton_University, , ","Princeton, Neuroscience, Institute, Princeton, Princeton_University, , "
Alin I. Coman,Psychology,https://collaborate.princeton.edu/en/persons/alin-i-coman,Psychology,Psychology,"psychological_science, psychology","Psychology, psychological_science, psychology"
Benjamin Conisbee Baer,Comparative Literature,https://collaborate.princeton.edu/en/persons/benjamin-conisbee-baer,Comparative Literature,"Comparative, Literature","comparative_degree, relative, comparative, ","Comparative, Literature, comparative_degree, relative, comparative, "
Thomas Donald Conlan,East Asian Studies,https://collaborate.princeton.edu/en/persons/thomas-donald-conlan,East Asian Studies,"East, Asian, Studies","east, Orient, East, eastward, due_east, eastern_United_States, E, , ","East, Asian, Studies, east, Orient, East, eastward, due_east, eastern_United_States, E, , "
Dalton Conley,Sociology,https://collaborate.princeton.edu/en/persons/dalton-conley,Sociology,Sociology,sociology,"Sociology, sociology"
Peter Constantin,"Mathematics, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/peter-constantin,"Mathematics, Princeton Institute Computational Science and Engineering","Mathematics, Princeton, Institute, Computational, Science, and, Engineering","math, maths, mathematics, , , , , , ","Mathematics, Princeton, Institute, Computational, Science, and, Engineering, math, maths, mathematics, , , , , , "
Gregory Andrew Conti,Politics,https://collaborate.princeton.edu/en/persons/gregory-andrew-conti,Politics,Politics,"politics, government, political_sympathies, political_relation, political_science","Politics, politics, government, political_sympathies, political_relation, political_science"
Jonathan M. Conway,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/jonathan-m-conway,Chemical Biological Engineering,"Chemical, Biological, Engineering","chemic, chemical_substance, chemical, , ","Chemical, Biological, Engineering, chemic, chemical_substance, chemical, , "
Michael Allan Cook,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/michael-allan-cook,Near Eastern Studies,"Near, Eastern, Studies","approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , ","Near, Eastern, Studies, approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , "
Joel Cooper,Psychology,https://collaborate.princeton.edu/en/persons/joel-cooper,Psychology,Psychology,"psychological_science, psychology","Psychology, psychological_science, psychology"
Bradin T. Cormack,English,https://collaborate.princeton.edu/en/persons/bradin-t-cormack,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Steven Charles Cowley,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/steven-charles-cowley,Astrophysical Sciences,"Astrophysical, Sciences","astrophysical, ","Astrophysical, Sciences, astrophysical, "
Natalie Cox,"Economics, Bendheim Center for Finance",https://collaborate.princeton.edu/en/persons/natalie-marie-bachas,"Economics, Bendheim Center Finance","Economics, Bendheim, Center, Finance","economic_science, economics, political_economy, , , ","Economics, Bendheim, Center, Finance, economic_science, economics, political_economy, , , "
Angela N. H. Creager,History,https://collaborate.princeton.edu/en/persons/angela-n-h-creager,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Ileana M. Cristea,"Molecular Biology, Lewis-Sigler Institute for Integrative Genomics",https://collaborate.princeton.edu/en/persons/ileana-m-cristea,"Molecular Biology, Lewis-Sigler Institute Integrative Genomics","Molecular, Biology, Lewis-Sigler, Institute, Integrative, Genomics","molecular, , , , , ","Molecular, Biology, Lewis-Sigler, Institute, Integrative, Genomics, molecular, , , , , "
Molly J Crockett,Psychology,https://collaborate.princeton.edu/en/persons/molly-j-crockett,Psychology,Psychology,"psychological_science, psychology","Psychology, psychological_science, psychology"
Janet Marion Currie,"Princeton School of Public and International Affairs, Economics",https://collaborate.princeton.edu/en/persons/janet-marion-currie,"Princeton School of Public and International Affairs, Economics","Princeton, School, of, Public, and, International, Affairs, Economics","Princeton, Princeton_University, , , , , , , ","Princeton, School, of, Public, and, International, Affairs, Economics, Princeton, Princeton_University, , , , , , , "
Mihalis Dafermos,"Mathematics, Physics",https://collaborate.princeton.edu/en/persons/mihalis-dafermos,"Mathematics, Physics","Mathematics, Physics","math, maths, mathematics, ","Mathematics, Physics, math, maths, mathematics, "
Marcel Dall'Agnol,Computer Science,https://collaborate.princeton.edu/en/persons/marcel-dallagnol,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Rafaela M. Dancygier,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/rafaela-m-dancygier,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
John David Danner,Keller Center for Innovation in Engineering Education,https://collaborate.princeton.edu/en/persons/john-david-danner,Keller Center Innovation in Engineering Education,"Keller, Center, Innovation, in, Engineering, Education","Helen_Adams_Keller, Keller, Helen_Keller, , , , , ","Keller, Center, Innovation, in, Engineering, Education, Helen_Adams_Keller, Keller, Helen_Keller, , , , , "
Anthar Saqer Darwish,Molecular Biology,https://collaborate.princeton.edu/en/persons/anthar-saqer-darwish,Molecular Biology,"Molecular, Biology","molecular, ","Molecular, Biology, molecular, "
Sujit Sankar Datta,"Chemical & Biological Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/sujit-sankar-datta,"Chemical Biological Engineering, Princeton Materials Institute","Chemical, Biological, Engineering, Princeton, Materials, Institute","chemic, chemical_substance, chemical, , , , , ","Chemical, Biological, Engineering, Princeton, Materials, Institute, chemic, chemical_substance, chemical, , , , , "
Emily Catherine Davidson,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/emily-catherine-davidson,Chemical Biological Engineering,"Chemical, Biological, Engineering","chemic, chemical_substance, chemical, , ","Chemical, Biological, Engineering, chemic, chemical_substance, chemical, , "
Nathaniel Douglass Daw,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/nathaniel-douglass-daw,Princeton Neuroscience Institute,"Princeton, Neuroscience, Institute","Princeton, Princeton_University, , ","Princeton, Neuroscience, Institute, Princeton, Princeton_University, , "
Pablo Gaston Debenedetti,"Chemical & Biological Engineering, Princeton Materials Institute, High Meadows Environmental Institute, Princeton Institute for Computational Science and Engineering, School of Engineering & Applied Science",https://collaborate.princeton.edu/en/persons/pablo-gaston-debenedetti,"Chemical Biological Engineering, Princeton Materials Institute, High Meadows Environmental Institute, Princeton Institute Computational Science and Engineering, School of Engineering Applied Science","Chemical, Biological, Engineering, Princeton, Materials, Institute, High, Meadows, Environmental, Institute, Princeton, Institute, Computational, Science, and, Engineering, School, of, Engineering, Applied, Science","chemic, chemical_substance, chemical, , , , , , , , , , , , , , , , , , , , ","Chemical, Biological, Engineering, Princeton, Materials, Institute, High, Meadows, Environmental, Institute, Princeton, Institute, Computational, Science, and, Engineering, School, of, Engineering, Applied, Science, chemic, chemical_substance, chemical, , , , , , , , , , , , , , , , , , , , "
Luc Deike,"Mechanical & Aerospace Engineering, Civil & Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/luc-deike,"Mechanical Aerospace Engineering, Civil Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute","Mechanical, Aerospace, Engineering, Civil, Environmental, Engineering, High, Meadows, Environmental, Institute, Princeton, Materials, Institute","mechanically_skillful, mechanical, , , , , , , , , , , , ","Mechanical, Aerospace, Engineering, Civil, Environmental, Engineering, High, Meadows, Environmental, Institute, Princeton, Materials, Institute, mechanically_skillful, mechanical, , , , , , , , , , , , "
Nathalie P. de Leon,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/nathalie-p-de-leon,Electrical and Computer Engineering,"Electrical, and, Computer, Engineering","electric, electrical, , , ","Electrical, and, Computer, Engineering, electric, electrical, , , "
Rachael Ziady DeLue,Art and Archaeology,https://collaborate.princeton.edu/en/persons/rachael-ziady-delue,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
